_id,Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no deg",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1,Allegheny Center,1,1002,139,10,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,7,11,23,27,21,21,116,53,22,24,47,26,176,70,87,52,274,77,80,46,125,66,8,11
3,Allentown,3,1577.0,227.187147523,19.0,27.0,0.0,17.3205080757,0.0,17.3205080757,6.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,9.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,8.0,19.2093727123,8.0,19.8997487421,46.0,36.9864840178,20.0,26.5518360947,39.0,29.8998327754,579.0,163.926812938,205.0,102.259473889,139.0,64.0390505863,318.0,116.828934772,54.0,34.8711915483,70.0,42.6262829719,35.0,29.5296461204,22.0,29.5972971739,0.0,17.3205080757
4,Arlington - Arlington Heights (Combined),4,1417.0,281.515445679,31.0,42.8785644455,0.0,27.3205080757,0.0,27.3205080757,0.0,27.3205080757,0.0,27.3205080757,0.0,27.3205080757,0.0,27.3205080757,0.0,27.3205080757,13.0,28.2482875909,0.0,27.3205080757,19.0,26.8226038413,27.0,28.0277563773,79.0,67.0370116692,40.0,37.4386081328,16.0,26.8819430161,417.0,121.296900226,99.0,57.1393092203,99.0,58.598206242,293.0,112.493902258,166.0,83.4053869612,94.0,53.1277173057,25.0,32.1585198061,4.0,25.779733838,0.0,27.3205080757
6,Banksville,6,3244.0,480.985446766,5.0,20.5182845286,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,11.0,23.579652245,5.0,21.0713075057,153.0,166.349030656,62.0,66.3701740242,0.0,20.0,923.0,241.01037322,88.0,62.6498204307,146.0,76.0394634384,256.0,116.717607926,333.0,137.793323496,606.0,163.874952326,581.0,209.348990922,75.0,59.5399025864,0.0,20.0
7,Bedford Dwellings,7,740,96,15,10,0,10,0,10,0,10,0,10,9,14,0,10,0,10,12,19,0,10,0,10,0,10,15,16,60,43,8,11,291,82,114,43,55,43,88,46,47,22,26,23,0,10,0,10,0,10
8,Beechview,8,5905.0,522.106311014,123.0,99.9249718538,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,38.0,64.4127316607,0.0,31.6227766016,0.0,31.6227766016,12.0,35.5105618092,10.0,34.0,51.0,61.9193023217,56.0,59.4558659847,28.0,33.4514573673,60.0,61.3921819128,109.0,77.472575793,107.0,54.1387107346,1508.0,292.549141171,335.0,133.89921583,383.0,147.736251476,915.0,204.041662413,633.0,147.621136699,1105.0,222.198109804,325.0,107.009345386,87.0,57.8186821019,20.0,42.1544778167
9,Beltzhoover,9,1173.0,230.724944468,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,9.0,22.9128784748,0.0,20.0,0.0,20.0,11.0,22.9128784748,72.0,74.2563128629,77.0,69.6706537933,22.0,29.5972971739,409.0,152.829970883,98.0,57.1751694356,90.0,47.2122865364,203.0,76.1774244773,46.0,55.9016994375,64.0,41.2916456441,72.0,45.5631429996,0.0,20.0,0.0,20.0
10,Bloomfield,10,6612.0,403.312533898,59.0,36.3318042492,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,5.0,30.8058436014,13.0,28.9136645896,10.0,30.2820078593,24.0,37.1483512419,6.0,31.9530906173,6.0,29.4108823397,10.0,28.6879765756,36.0,37.4432904537,24.0,28.6879765756,45.0,33.4664010614,64.0,34.2344855373,1384.0,184.897268774,205.0,83.6241591885,251.0,82.9638475482,623.0,144.093719503,408.0,106.714572575,1801.0,235.274307989,1112.0,173.280120037,310.0,84.1724420461,216.0,74.1822081095
11,Bluff,11,2168.0,253.015809782,14.0,23.5796522451,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,8.0,22.9128784748,0.0,20.0,9.0,23.5796522451,5.0,18.6815416922,8.0,22.9128784748,15.0,21.3307290077,8.0,22.9128784748,96.0,48.9285192909,201.0,80.6907677495,18.0,28.7923600978,463.0,102.518291051,514.0,107.154094649,146.0,60.2743726637,282.0,107.939798037,112.0,51.6236379966,146.0,57.008771255,72.0,72.4085630295,17.0,22.2036033112,34.0,71.0563156939
12,Bon Air,12,603,102,5,7,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,7,11,0,10,7,9,192,68,58,55,38,29,87,51,106,61,53,35,45,35,0,10,0,10
13,Brighton Heights,13,5384.0,347.603222079,124.0,56.8330889535,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,10.0,34.292856399,0.0,26.4575131106,3.0,25.2190404259,0.0,26.4575131106,0.0,26.4575131106,18.0,32.5729949499,23.0,27.8567765544,56.0,36.4280112002,96.0,55.5877684387,83.0,41.097445176,1520.0,241.805707128,250.0,89.1066776398,369.0,107.163426597,542.0,127.698864521,573.0,126.633328946,1242.0,189.338321531,374.0,90.1276871998,83.0,49.5681349256,18.0,28.4429253066
14,Brookline,14,9648.0,631.886065681,45.0,43.33589736,10.0,40.6939798987,0.0,38.729833462,0.0,38.729833462,43.0,78.4920378127,5.0,39.0,23.0,50.556898639,0.0,38.729833462,0.0,38.729833462,0.0,38.729833462,95.0,76.7202711153,94.0,70.2780193233,177.0,123.987902635,240.0,120.590215193,111.0,79.7433382797,2751.0,337.809117698,554.0,142.175947334,674.0,174.653943558,1036.0,211.990565828,1137.0,265.746119446,1786.0,262.085863793,687.0,161.514705214,102.0,62.8649345821,78.0,73.769912566
15,California-Kirkbride,15,499,96,12,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,8,17,16,16,18,22,26,15,13,159,44,27,22,14,12,97,49,21,15,70,43,24,23,0,10,0,10
16,Carrick,16,7337.0,495.690427586,201.0,96.1769203084,0.0,36.0555127546,8.0,37.0,0.0,36.0555127546,0.0,36.0555127546,9.0,37.3630833844,15.0,41.5812457727,0.0,36.0555127546,45.0,62.4019230473,30.0,48.538644398,53.0,42.8485705713,70.0,60.1498129673,211.0,91.3454979734,151.0,55.1724568966,177.0,72.9109045343,2316.0,264.603476923,549.0,143.188686704,423.0,107.317286585,832.0,168.297355891,803.0,161.195533438,1064.0,196.288053635,321.0,146.478667389,26.0,40.162171256,33.0,36.5102725271
18,Central Lawrenceville,18,3962.0,337.951179906,43.0,30.5122926048,0.0,24.4948974278,0.0,24.4948974278,1.0,22.5610283453,0.0,24.4948974278,1.0,22.7156333831,0.0,24.4948974278,12.0,33.5410196625,0.0,24.4948974278,0.0,24.4948974278,22.0,27.3130005675,58.0,53.1695401522,67.0,36.3593179254,126.0,67.1267457873,82.0,60.827625303,912.0,166.108398343,138.0,61.6441400297,170.0,72.2288031189,403.0,126.724109781,301.0,95.8957767579,960.0,144.868906257,451.0,108.655418641,131.0,52.0960651105,84.0,45.9565011723
19,Central Northside,19,2209.0,242.56133245,54.0,36.0277670693,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,0.0,17.3205080757,6.0,16.7630546143,27.0,27.3861278753,51.0,28.8097205818,73.0,42.9651021179,10.0,21.3541565041,392.0,144.865454819,103.0,43.577517139,111.0,47.0744091838,198.0,63.5373905665,165.0,60.3738353925,579.0,110.181668167,338.0,89.5823643358,55.0,25.6515106768,41.0,26.7394839142
21,Chartiers City,21,443,103,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,13,15,17,0,10,39,32,126,47,29,30,24,23,95,51,21,20,38,48,42,37,0,10,5,7
23,Crafton Heights,23,2594.0,233.987179136,10.0,19.4935886896,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,7.0,21.0713075057,0.0,20.0,4.0,18.3303027798,5.0,19.0787840284,6.0,20.5182845287,98.0,52.29722746,20.0,19.0262975904,40.0,23.8117617995,738.0,139.017984448,159.0,78.1536947303,263.0,86.2206471792,336.0,90.3659227807,238.0,70.5691150576,563.0,113.247516529,89.0,36.2491379208,13.0,21.4476105895,5.0,19.519221296
24,Crawford-Roberts,24,1545.0,202.277037748,11.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,32.0,28.3019433962,37.0,34.6698716467,94.0,67.007462271,71.0,46.5295604965,540.0,132.310241478,108.0,54.2033209315,145.0,73.4098086089,188.0,88.6002257333,153.0,71.8470597867,90.0,56.6127194189,44.0,30.083217913,0.0,14.1421356237,23.0,28.7923600978
25,Duquesne Heights,25,2034.0,293.715849079,19.0,24.1660919472,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,29.0,31.6227766017,42.0,38.0131556175,0.0,14.1421356237,24.0,22.360679775,554.0,169.04733065,103.0,50.6063237155,160.0,66.0302960769,190.0,87.6641317758,134.0,50.1198563446,432.0,114.63420083,288.0,123.470644284,35.0,27.8567765544,19.0,22.803508502
