,Neighborhood,Overall_score
49,Point Breeze,5.213989962806154
46,Point Breeze North,5.1273716662986635
68,Squirrel Hill North,5.122682435554546
0,Homewood North,5.113429598417435
67,Regent Square,5.103979919249508
56,Squirrel Hill South,5.022928377839952
1,Homewood South,4.984145144024986
45,Highland Park,4.9677667863538675
75,Shadyside,4.961728894858172
2,East Hills,4.9549734388391435
70,Friendship,4.950079821997745
15,Crafton Heights,4.841613829277157
22,Perry North,4.825392583175182
12,Garfield,4.824794792670924
50,Allegheny Center,4.821827289777887
11,Hazelwood,4.8161934633827075
44,Greenfield,4.811165359805394
9,Mount Oliver,4.779334426639366
14,Sheraden,4.7553076870901725
3,Homewood West,4.740809764327449
32,West End,4.737455277563021
7,California-Kirkbride,4.737156725204532
36,Manchester,4.710898437042612
41,Stanton Heights,4.709751485505021
17,Hays,4.705684557577666
38,Fairywood,4.702269977570456
20,Perry South,4.7022346680861835
13,Lincoln-Lemington-Belmar,4.696306968186693
35,East Liberty,4.693615619429286
10,Beltzhoover,4.691635471940394
5,Terrace Village,4.676205859780422
4,Knoxville,4.668900123628147
74,South Side Flats,4.660908288454233
6,Larimer,4.6604028533246975
64,Bloomfield,4.659521788101387
23,Beechview,4.649003105402922
28,Brookline,4.64225254138466
31,Upper Hill,4.628820666320089
30,Brighton Heights,4.621871783951418
24,Elliott,4.609885496782401
54,Mount Washington,4.6076133454475166
53,Central Northside,4.600228011713334
18,Carrick,4.596434304032985
52,Troy Hill,4.595836572291562
57,Banksville,4.566232118729188
47,New Homestead,4.544452861664733
19,Allentown,4.540955155233864
69,Swisshelm Park,4.531067844936301
8,Bedford Dwellings,4.5278780133444885
43,Bon Air,4.527360670076202
16,Middle Hill,4.522624848218954
51,Morningside,4.520835105294676
42,Saint Clair,4.508234523630123
61,Duquesne Heights,4.493444649861356
62,Lower Lawrenceville,4.492177799319653
59,South Side Slopes,4.489924559632799
29,Fineview,4.4880053675443285
65,Central Lawrenceville,4.486461781453844
55,Upper Lawrenceville,4.485508342079406
33,Windgap,4.469324021998072
39,Overbrook,4.454132795283336
27,Crawford-Roberts,4.450998226206928
66,Polish Hill,4.4483464230323575
58,Summer Hill,4.4468021367047506
40,Lincoln Place,4.433857734700602
48,Oakwood,4.427351877619538
26,Arlington - Arlington Heights (Combined),4.422848232845196
34,Westwood,4.401039769620572
21,Marshall-Shadeland,4.398983826197615
73,West Oakland,4.395003046339612
72,South Oakland,4.387051253193952
60,East Allegheny,4.344679426576431
63,Chartiers City,4.311313279972952
71,East Carnegie,4.2927464736092595
25,Glen Hazel,4.156015947503688
77,Spring Hill-City,4.066899290581278
37,Spring Garden,4.063654619795031
76,Bluff,4.037349036856344
