_id,id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
316,87059691,Able Long Playground,Spring Toy - Turtle,Little Tykes,,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40840184,-80.02850781
112,1511493492,Able Long Playground,Play Area 5 to 12,Little Tykes,Pour in Place,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40836153,-80.02842606
223,277523687,Able Long Playground,Spring Toy - Dragon,Little Tykes,,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40836339,-80.02850653
1,1780722587,Able Long Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.4083811,-80.02851994
349,1312744601,Albert Graham Playground,Play Area 5 to 12,Playworld,Pour in Place,f,,Foreside Pl,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44063111,-79.98417473
327,1528925530,Albert Graham Playground,Swing 2 Bays,Playworld,Pour in Place,t,,Foreside Pl,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44040909,-79.98407301
338,1744087688,Albert Graham Playground,Play Area 2 to 5,Playworld,Pour in Place,f,,Foreside Pl,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44053777,-79.98410253
101,1039782373,Alpine Playground,Play Area 2 to 12,Playworld,Pour in Place,f,,Alpine Ave,Central Northside,6,25,42003250300,1,25,1,1-21,40.45770984,-80.01299454
124,919996438,Alton Playground,Swing 2 Bays,Playworld,SofSurfaces,f,,Andick Way,Beechview,4,19,42003191600,5,19,6,4-28,40.41416804,-80.02193704
135,898831062,Alton Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,,Andick Way,Beechview,4,19,42003191600,5,19,6,4-28,40.41417215,-80.02160975
146,1468332873,Alton Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,Andick Way,Beechview,4,19,42003191600,5,19,6,4-28,40.4141373,-80.0218378
113,331915417,Alton Playground,Swing 2 Bays,Playworld,SofSurfaces,t,,Andick Way,Beechview,4,19,42003191600,5,19,6,4-28,40.41413279,-80.02170509
